slug,hreflang,url
5-star-eats,en-my,https://www.grab.com/my/5-star-eats/
5-star-eats,x-default,https://www.grab.com/my/5-star-eats/
how-it-works,en-my,https://www.grab.com/my/how-it-works/
how-it-works,x-default,https://www.grab.com/my/how-it-works/
faq,en-my,https://www.grab.com/my/faq/
faq,x-default,https://www.grab.com/my/faq/
winners-2025,en-my,https://www.grab.com/my/winners-2025/
winners-2025,x-default,https://www.grab.com/my/winners-2025/
awards,en-my,https://www.grab.com/my/awards/
awards,x-default,https://www.grab.com/my/awards/
